City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.09,clear sky,-23.12,-134.97,Pension Maro'i
1,Tabou,CI,79.3,broken clouds,4.42,-7.35,hotêl doufoulougou
3,Dolores,AR,70.47,clear sky,-36.31,-57.68,Apart Hotel - Arianos
4,Balao,EC,80.6,broken clouds,-2.92,-79.82,Gilson Stalin Lucas S
6,Kapaa,US,75.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
8,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
12,Solwezi,ZM,71.98,clear sky,-12.17,26.39,Country Lodge Solwezi
14,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
20,Belmonte,BR,82.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
23,Bandiagara,ML,88.09,clear sky,14.35,-3.61,Hotel de la Falaise
25,Cabo San Lucas,MX,84.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
29,Kavaratti,IN,82.8,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
31,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
38,Axim,GH,79.54,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
42,Paraiso,CR,77.0,scattered clouds,9.84,-83.87,Rinconcito Verde
44,Roebourne,AU,70.59,clear sky,-20.78,117.13,Harding River Caravan Park
46,Araouane,ML,89.64,overcast clouds,18.9,-3.53,
51,Houma,US,72.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
53,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
55,Iracoubo,GF,86.23,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
57,Butaritari,KI,81.39,broken clouds,3.07,172.79,Isles Sunset Lodge
62,Victoria,HK,73.0,few clouds,22.29,114.16,Mini Hotel Central
65,Kilindoni,TZ,79.3,overcast clouds,-7.91,39.67,Bustani B&B
67,Giyani,ZA,73.35,broken clouds,-23.3,30.72,Kulani Country Lodge
70,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
73,Ancud,CL,72.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
74,Lorengau,PG,80.96,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
80,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
81,Ygatimi,PY,84.76,broken clouds,-24.08,-55.5,
84,Wajid,SO,78.89,few clouds,3.81,43.25,Hotel Haji Aden Yare
88,Kavieng,PG,83.08,broken clouds,-2.57,150.8,Nusa Island Retreat
94,Puerto Lempira,HN,83.61,light rain,15.27,-83.77,Hotel Yu baiwan
95,Guerrero Negro,MX,77.58,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
100,Mount Isa,AU,71.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
104,Opuwo,,77.59,light rain,-18.06,13.84,ABBA Guesthouse
105,Vanimo,PG,77.95,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
107,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
112,Matara,LK,77.92,scattered clouds,5.95,80.54,Amaloh Boutique Resort
114,Atuona,PF,78.31,few clouds,-9.8,-139.03,Villa Enata
115,Tshikapa,CD,73.83,moderate rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
120,The Valley,AI,87.8,haze,18.22,-63.06,CeBlue Villas & Beach Resort
131,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
132,Esperance,AU,71.6,overcast clouds,-33.87,121.9,Hospitality Esperance
136,Bandarbeyla,SO,77.76,broken clouds,9.49,50.81,REER XOOSHLE GROUP
