City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wajid,SO,3.81,43.25,75.16,82,85,13.56,overcast clouds
1,Chokurdakh,RU,70.63,147.92,10.85,93,97,7.0,overcast clouds
2,Carnarvon,AU,-24.87,113.63,77.0,57,0,19.46,clear sky
3,Cherskiy,RU,68.75,161.3,20.25,94,5,5.39,clear sky
4,Barrow,US,71.29,-156.79,28.4,86,90,9.17,fog
5,Busselton,AU,-33.65,115.33,73.99,30,0,6.91,clear sky
6,Tasiilaq,GL,65.61,-37.64,33.8,59,100,5.82,overcast clouds
7,Tiksi,RU,71.69,128.87,18.59,91,24,28.63,few clouds
8,Punta Arenas,CL,-53.15,-70.92,46.4,61,75,5.82,light rain
9,Luanda,AO,-8.84,13.23,73.4,88,75,8.05,broken clouds
10,Biak,ID,-0.91,122.88,85.87,64,13,3.2,few clouds
11,Butaritari,KI,3.07,172.79,82.18,71,7,10.83,clear sky
12,Yanam,IN,16.73,82.22,78.8,94,20,3.36,mist
13,Upernavik,GL,72.79,-56.15,21.27,90,100,6.31,overcast clouds
14,Albany,US,42.6,-73.97,63.0,85,16,1.01,few clouds
15,Mataura,NZ,-46.19,168.86,70.0,51,57,10.0,broken clouds
16,Hobart,AU,-42.88,147.33,59.0,66,75,5.82,shower rain
17,Port Alfred,ZA,-33.59,26.89,69.62,84,97,16.11,overcast clouds
18,Aykhal,RU,66.0,111.5,15.8,66,0,13.42,clear sky
19,Rikitea,PF,-23.12,-134.97,73.96,83,100,16.04,overcast clouds
20,Hobyo,SO,5.35,48.53,80.46,78,100,5.3,moderate rain
21,Narsaq,GL,60.92,-46.05,26.6,73,94,1.23,overcast clouds
22,Beloha,MG,-25.17,45.05,69.78,76,100,10.25,overcast clouds
23,Isangel,VU,-19.55,169.27,82.4,74,90,5.82,overcast clouds
24,Kultuk,RU,51.72,103.7,46.33,56,9,1.05,clear sky
25,Stirion,GR,38.4,22.72,60.01,58,0,3.62,clear sky
26,Kaka,TM,37.35,59.61,49.46,50,0,2.75,clear sky
27,Broome,US,42.25,-75.83,64.0,82,20,8.05,few clouds
28,Castro,BR,-24.79,-50.01,60.93,95,100,8.23,overcast clouds
29,Zistersdorf,AT,48.53,16.75,50.0,93,97,3.89,overcast clouds
30,Walvis Bay,NA,-22.96,14.51,59.0,87,2,1.12,clear sky
31,Cape Town,ZA,-33.93,18.42,62.01,93,90,9.17,light intensity drizzle
32,Jamestown,US,42.1,-79.24,62.6,77,90,21.92,light rain
