City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Wajid,SO,75.16,overcast clouds,3.81,43.25,Hotel Haji Aden Yare
2,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
5,Busselton,AU,73.99,clear sky,-33.65,115.33,Observatory Guest House
9,Luanda,AO,73.4,broken clouds,-8.84,13.23,EPIC SANA Luanda
10,Biak,ID,85.87,few clouds,-0.91,122.88,Kost Ariz
11,Butaritari,KI,82.18,clear sky,3.07,172.79,Isles Sunset Lodge
12,Yanam,IN,78.8,mist,16.73,82.22,The Regency Hotel
15,Mataura,NZ,70.0,broken clouds,-46.19,168.86,Ellie's Villa
19,Rikitea,PF,73.96,overcast clouds,-23.12,-134.97,Pension Maro'i
20,Hobyo,SO,80.46,moderate rain,5.35,48.53,Osmani Hotel
23,Isangel,VU,82.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
35,Meulaboh,ID,85.84,scattered clouds,4.14,96.13,Kost Pria
37,Kathu,TH,84.0,broken clouds,7.92,98.33,Novotel Phuket Resort
39,Xam Nua,LA,71.55,overcast clouds,20.42,104.04,Phoudy Guesthouse
41,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
42,Rawson,AR,71.6,overcast clouds,-43.3,-65.1,Hotel Punta León
46,Adrar,MR,84.76,broken clouds,20.5,-10.07,
47,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
50,Sur,OM,79.43,clear sky,22.57,59.53,Sur Plaza Hotel
52,Cabo San Lucas,MX,81.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
53,Tsogni,GA,75.09,overcast clouds,-2.79,10.1,
54,Contamana,PE,72.84,light rain,-7.33,-75.02,Shiringal Touristic Park
56,Lorengau,PG,85.8,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
59,Bluff,NZ,70.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
61,Faanui,PF,79.39,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
64,Kaitangata,NZ,70.68,clear sky,-46.28,169.85,Kaitangata Motor Camp
65,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
66,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
68,Ocara,BR,75.52,few clouds,-4.49,-38.6,Pousada familiar
71,Amapa,BR,74.88,clear sky,1.0,-52.0,
72,Dangriga,BZ,82.99,overcast clouds,16.97,-88.23,Chaleanor Hotel
74,Sola,VU,80.06,light rain,-13.88,167.55,Ulkel Guest House
81,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
82,Hithadhoo,MV,83.05,scattered clouds,-0.6,73.08,Scoop Guest House
83,Port Blair,IN,84.02,scattered clouds,11.67,92.75,Fortune Resort Bay Island
85,Grand Gaube,MU,75.99,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
88,Atuona,PF,78.69,clear sky,-9.8,-139.03,Villa Enata
89,Atar,MR,82.94,overcast clouds,20.52,-13.05,Oumou Elghoura
90,Piacabucu,BR,76.48,clear sky,-10.41,-36.43,Piaçabuçu News
94,Iquitos,PE,71.6,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
100,Nabire,ID,82.04,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
101,Sambava,MG,71.89,clear sky,-14.27,50.17,Melrose
104,Kapaa,US,80.01,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
105,Grand-Santi,GF,72.81,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
111,Macapa,BR,84.2,few clouds,0.04,-51.07,Atalanta Hotel
127,Auki,SB,84.2,moderate rain,-8.77,160.7,Auki Motel
128,Veraval,IN,82.4,clear sky,20.9,70.37,Lords Inn Somnath
130,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
132,Port-Gentil,GA,77.97,light rain,-0.72,8.78,Fengshui Residence
139,Sao Filipe,CV,80.13,overcast clouds,14.9,-24.5,Tortuga B&B
141,Makakilo City,US,82.4,moderate rain,21.35,-158.09,Marriott's Ko Olina Beach Club
143,Saint-Philippe,RE,75.2,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
144,Bengkulu,ID,80.29,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
148,Geraldton,AU,87.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
149,Umm Kaddadah,SD,80.42,clear sky,13.6,26.69,
150,Mumford,GH,76.84,few clouds,5.26,-0.76,Spanish Villa
156,Airai,TL,81.05,few clouds,-8.93,125.41,Juvinal Martin
160,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
165,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
167,Japaratuba,BR,80.6,scattered clouds,-10.59,-36.94,Pousada Japaratuba
168,Mogadishu,SO,80.01,broken clouds,2.04,45.34,Hotel Juba
170,Nelson Bay,AU,72.0,shower rain,-32.72,152.15,Mantra Nelson Bay
178,Tabou,CI,76.51,light rain,4.42,-7.35,hotêl doufoulougou
181,Dullewala,PK,75.47,clear sky,31.84,71.44,Alamdar Hotel
185,Inhambane,MZ,72.05,overcast clouds,-23.86,35.38,Oceano
191,Sorong,ID,83.98,light rain,-0.88,131.25,The Waigo Hotel
193,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
195,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
200,Tomatlan,MX,77.52,scattered clouds,19.93,-105.25,Norma franco
201,Tuatapere,NZ,70.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
224,Todos Santos,MX,80.01,broken clouds,23.45,-110.22,Hotel California Todos Santos
227,Itaituba,BR,77.31,scattered clouds,-4.28,-55.98,Hotel Campos
230,Innisfail,AU,81.82,broken clouds,-17.53,146.03,Moondarra Motel
231,Paracuru,BR,80.01,light rain,-3.41,-39.03,Hotel Vento Brasil
235,Russell,US,73.4,mist,32.35,-85.2,Macs
236,Correntina,BR,70.12,heavy intensity rain,-13.34,-44.64,Hotel Pousada dos Sonhos
237,Bria,CF,70.36,overcast clouds,6.54,21.99,
239,Kpandae,GH,74.5,overcast clouds,8.47,-0.01,S. Amaski Guest House
240,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
246,Bhadrachalam,IN,78.37,scattered clouds,17.67,80.88,Hotel Srinidhi Residency
247,San Patricio,US,78.8,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
249,Aswan,EG,72.82,clear sky,24.09,32.91,Nuba Nile
250,Dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
253,Sao Joao Da Barra,BR,72.79,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
254,Gamba,GA,76.23,overcast clouds,-2.65,10.0,
255,Bilma,NE,73.54,clear sky,18.69,12.92,Expeditions Ténére voyages
258,Pauini,BR,75.15,broken clouds,-7.71,-66.98,Casa do Kiwliks
262,Cassilandia,BR,73.98,light rain,-19.11,-51.73,Hotel Rafa Cassilândia
263,Sao Felix Do Xingu,BR,73.54,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
264,Kavieng,PG,84.81,broken clouds,-2.57,150.8,Nusa Island Retreat
267,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
268,Bosobolo,CD,70.41,broken clouds,4.18,19.9,
274,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
276,Tessalit,ML,80.13,clear sky,20.2,1.01,
